component_id,lot_id,value_0h,value_24h,value_96h,value_168h,temperature,ground_truth_status
C00001,LOT_10,12.18,24.51,45.25,94.83,85.0,HIGH_RISK
C00002,LOT_09,9.64,9.69,10.39,10.78,85.0,NORMAL
C00003,LOT_07,9.9,10.55,18.68,45.47,125.0,DRIFTING
C00004,LOT_06,10.13,10.9,13.38,14.34,125.0,NORMAL
C00005,LOT_02,12.33,12.57,15.49,16.63,125.0,NORMAL
C00006,LOT_09,13.2,13.74,14.62,14.28,150.0,NORMAL
C00007,LOT_07,8.16,8.78,8.3,10.06,125.0,NORMAL
C00008,LOT_06,10.27,10.76,11.44,12.66,125.0,NORMAL
C00009,LOT_07,6.94,6.72,7.55,8.21,85.0,NORMAL
C00010,LOT_04,14.48,14.61,16.32,16.9,150.0,NORMAL
C00011,LOT_06,8.8,9.07,9.51,10.59,125.0,NORMAL
C00012,LOT_10,10.66,11.58,12.67,14.7,105.0,NORMAL
C00013,LOT_09,11.74,11.82,12.61,13.92,125.0,NORMAL
C00014,LOT_04,12.93,27.67,46.45,83.88,125.0,HIGH_RISK
C00015,LOT_01,10.65,21.07,45.58,87.6,105.0,HIGH_RISK
C00016,LOT_05,10.74,20.43,45.52,89.56,125.0,HIGH_RISK
C00017,LOT_01,11.35,12.21,12.62,14.05,125.0,NORMAL
C00018,LOT_03,13.14,13.28,13.63,15.26,125.0,NORMAL
C00019,LOT_01,10.87,11.71,13.22,13.79,125.0,NORMAL
C00020,LOT_10,11.82,12.65,13.41,14.74,105.0,NORMAL
C00021,LOT_05,9.28,9.44,11.81,14.02,150.0,NORMAL
C00022,LOT_01,9.7,15.38,42.75,80.8,105.0,HIGH_RISK
C00023,LOT_06,9.89,20.46,46.62,89.64,125.0,HIGH_RISK
C00024,LOT_01,10.61,11.27,11.87,14.11,125.0,NORMAL
C00025,LOT_08,14.49,15.82,27.04,53.56,125.0,DRIFTING
C00026,LOT_03,11.98,12.12,12.66,13.43,125.0,NORMAL
C00027,LOT_09,13.37,13.92,15.2,16.38,150.0,NORMAL
C00028,LOT_07,7.22,7.89,8.43,10.07,105.0,NORMAL
C00029,LOT_07,6.78,7.69,9.9,10.64,105.0,NORMAL
C00030,LOT_10,14.05,15.85,26.53,56.55,125.0,DRIFTING
C00031,LOT_01,8.5,8.18,10.1,8.71,85.0,NORMAL
C00032,LOT_10,13.91,14.24,16.35,17.27,125.0,NORMAL
C00033,LOT_05,9.23,20.43,48.06,77.92,105.0,HIGH_RISK
C00034,LOT_03,13.14,13.59,14.07,15.94,125.0,NORMAL
C00035,LOT_10,9.88,10.6,10.54,10.99,85.0,NORMAL
C00036,LOT_06,9.35,10.33,10.54,12.42,125.0,NORMAL
C00037,LOT_03,12.81,13.55,11.9,13.34,125.0,NORMAL
C00038,LOT_01,10.45,10.74,10.97,11.89,125.0,NORMAL
C00039,LOT_08,14.27,14.22,15.13,15.31,125.0,NORMAL
C00040,LOT_08,14.3,14.83,17.31,18.9,125.0,NORMAL
C00041,LOT_08,15.26,15.63,16.21,18.03,150.0,NORMAL
C00042,LOT_04,12.51,12.94,15.14,14.34,125.0,NORMAL
C00043,LOT_03,16.68,16.83,18.75,18.64,150.0,NORMAL
C00044,LOT_09,10.71,12.04,11.83,12.98,105.0,NORMAL
C00045,LOT_04,9.6,23.27,86.28,179.45,85.0,HIGH_RISK
C00046,LOT_05,6.49,7.26,9.07,11.48,85.0,NORMAL
C00047,LOT_05,7.67,8.85,9.86,12.01,125.0,NORMAL
C00048,LOT_09,11.8,12.48,14.02,16.26,125.0,NORMAL
C00049,LOT_05,8.36,8.78,10.92,11.02,105.0,NORMAL
C00050,LOT_03,14.27,14.41,14.86,15.57,125.0,NORMAL
C00051,LOT_10,13.4,14.14,15.24,16.1,125.0,NORMAL
C00052,LOT_01,9.06,9.68,10.94,14.43,85.0,NORMAL
C00053,LOT_06,10.88,16.98,46.36,89.3,150.0,HIGH_RISK
C00054,LOT_01,10.56,11.35,12.11,13.59,125.0,NORMAL
C00055,LOT_10,12.32,12.2,13.18,14.22,125.0,NORMAL
C00056,LOT_09,11.37,13.4,23.91,54.21,125.0,DRIFTING
C00057,LOT_02,10.28,19.82,62.26,126.95,85.0,HIGH_RISK
C00058,LOT_01,11.22,11.57,13.18,14.11,125.0,NORMAL
C00059,LOT_05,13.1,27.71,55.45,86.64,150.0,HIGH_RISK
C00060,LOT_09,7.62,8.79,10.21,15.01,105.0,ANOMALOUS
C00061,LOT_03,15.87,18.37,26.87,56.38,125.0,DRIFTING
C00062,LOT_07,7.63,8.04,7.57,10.05,125.0,NORMAL
C00063,LOT_03,17.02,17.4,18.94,19.75,150.0,NORMAL
C00064,LOT_05,9.41,9.74,10.11,10.19,125.0,NORMAL
C00065,LOT_02,14.47,14.65,15.45,15.2,125.0,NORMAL
C00066,LOT_08,14.11,15.13,16.24,19.39,125.0,NORMAL
C00067,LOT_05,8.12,8.05,9.12,8.23,105.0,NORMAL
C00068,LOT_09,9.86,10.66,10.8,11.38,85.0,NORMAL
C00069,LOT_08,13.42,13.33,15.98,17.62,125.0,NORMAL
C00070,LOT_02,13.46,13.54,14.53,15.13,125.0,NORMAL
C00071,LOT_09,13.19,13.81,14.91,15.52,125.0,NORMAL
C00072,LOT_02,11.7,12.35,13.11,14.55,125.0,NORMAL
C00073,LOT_08,13.43,13.47,15.48,16.42,125.0,NORMAL
C00074,LOT_06,10.86,11.58,12.19,16.54,150.0,NORMAL
C00075,LOT_05,8.35,7.8,9.55,9.58,105.0,NORMAL
C00076,LOT_06,10.99,10.66,11.17,11.78,125.0,NORMAL
C00077,LOT_07,7.94,8.22,9.95,8.94,125.0,NORMAL
C00078,LOT_03,20.27,20.75,22.18,24.83,125.0,ANOMALOUS
C00079,LOT_08,14.43,14.89,17.05,19.08,125.0,NORMAL
C00080,LOT_04,11.27,12.33,13.19,15.15,125.0,NORMAL
C00081,LOT_01,11.04,11.23,12.49,13.48,125.0,NORMAL
C00082,LOT_03,13.25,13.85,15.08,16.68,125.0,NORMAL
C00083,LOT_04,13.69,14.08,16.06,17.96,150.0,NORMAL
C00084,LOT_05,8.47,9.0,10.43,12.45,125.0,NORMAL
C00085,LOT_04,12.46,13.09,15.42,15.45,125.0,NORMAL
C00086,LOT_10,11.97,12.59,12.72,14.4,125.0,NORMAL
C00087,LOT_08,20.0,20.87,23.7,27.9,125.0,ANOMALOUS
C00088,LOT_09,11.29,11.96,15.4,16.63,125.0,NORMAL
C00089,LOT_05,9.51,9.81,11.34,12.22,125.0,NORMAL
C00090,LOT_10,15.71,15.85,17.14,17.39,150.0,NORMAL
C00091,LOT_03,13.06,13.13,13.87,14.6,105.0,NORMAL
C00092,LOT_01,10.74,19.33,49.29,86.84,105.0,HIGH_RISK
C00093,LOT_01,10.05,10.25,12.11,14.26,125.0,NORMAL
C00094,LOT_08,13.48,14.75,16.64,16.92,125.0,NORMAL
C00095,LOT_03,7.53,8.12,10.34,12.58,105.0,NORMAL
C00096,LOT_01,7.94,8.47,10.16,11.3,85.0,NORMAL
C00097,LOT_08,11.99,12.63,21.69,47.84,105.0,DRIFTING
C00098,LOT_08,16.24,30.85,47.97,83.13,125.0,HIGH_RISK
C00099,LOT_07,7.06,8.25,9.42,12.39,125.0,NORMAL
C00100,LOT_10,13.89,14.03,15.06,16.59,125.0,NORMAL
C00101,LOT_10,12.93,13.91,15.39,18.47,125.0,NORMAL
C00102,LOT_03,12.07,12.8,12.57,15.12,125.0,NORMAL
C00103,LOT_10,11.67,12.29,13.99,15.17,125.0,NORMAL
C00104,LOT_07,6.92,7.2,9.51,9.9,105.0,NORMAL
C00105,LOT_05,7.05,16.77,63.04,131.71,105.0,HIGH_RISK
C00106,LOT_04,12.03,13.06,15.08,17.77,125.0,NORMAL
C00107,LOT_06,9.16,9.46,9.87,10.99,125.0,NORMAL
C00108,LOT_02,12.79,12.76,14.65,16.49,125.0,NORMAL
C00109,LOT_09,11.52,13.13,19.6,49.66,105.0,DRIFTING
C00110,LOT_01,7.31,8.02,8.95,10.16,105.0,ANOMALOUS
C00111,LOT_08,13.92,14.42,15.0,16.0,105.0,NORMAL
C00112,LOT_02,14.34,15.99,25.12,56.92,125.0,DRIFTING
C00113,LOT_08,12.97,12.82,14.27,13.95,105.0,NORMAL
C00114,LOT_08,14.2,15.81,24.1,49.67,125.0,DRIFTING
C00115,LOT_07,10.89,18.89,36.67,71.27,125.0,HIGH_RISK
C00116,LOT_03,10.47,10.78,12.01,12.69,85.0,NORMAL
C00117,LOT_09,10.47,11.01,13.33,16.02,125.0,NORMAL
